OutcomeType,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color,isPurebred,ReproductiveStatus
1,Dog,Male,Adolescent,Shetland Sheepdog Mix,Brown/White,0,Neutered
3,Cat,Female,Adolescent,Domestic Shorthair Mix,Cream Tabby,0,Neutered
0,Dog,Male,Adolescent,Pit Bull Mix,Blue/White,0,Neutered
2,Cat,Male,Baby,Domestic Shorthair Mix,Blue Cream,0,Intact
2,Dog,Male,Adolescent,Lhasa Apso/Miniature Poodle,Tan,0,Neutered
2,Dog,Female,Baby,Cairn Terrier/Chihuahua Shorthair,Black/Tan,0,Intact
2,Cat,Male,Baby,Domestic Shorthair Mix,Blue Tabby,0,Intact
2,Cat,Unknown,Baby,Domestic Shorthair Mix,Brown Tabby,0,Unknown
0,Dog,Female,Baby,American Pit Bull Terrier Mix,Red/White,0,Neutered
0,Dog,Female,Adolescent,Cairn Terrier,White,1,Neutered
2,Cat,Unknown,Adolescent,Domestic Shorthair Mix,Black,0,Unknown
0,Dog,Female,Adolescent,Miniature Schnauzer Mix,Silver,0,Neutered
0,Dog,Male,Adult,Pit Bull Mix,Brown,0,Neutered
1,Dog,Male,Adolescent,Yorkshire Terrier Mix,Black/Red,0,Neutered
1,Dog,Male,Adolescent,Great Pyrenees Mix,Cream/White,0,Neutered
0,Cat,Male,Baby,Domestic Shorthair Mix,Orange Tabby/White,0,Neutered
2,Cat,Male,Baby,Domestic Shorthair Mix,Brown Tabby,0,Intact
2,Dog,Female,Baby,Pit Bull Mix,Brown/White,0,Intact
2,Cat,Female,Adolescent,Angora Mix,White,0,Intact
1,Dog,Male,Adolescent,Flat Coat Retriever Mix,Black,0,Neutered
2,Dog,Male,Baby,Queensland Heeler Mix,Black/White,0,Intact
2,Cat,Female,Adolescent,Domestic Shorthair Mix,White,0,Neutered
0,Dog,Female,Adolescent,Boxer/Plott Hound,Brown Brindle/White,0,Neutered
0,Dog,Male,Adolescent,German Shepherd Mix,Brown/White,0,Neutered
