OutcomeType,AnimalType,SexuponOutcome,AgeuponOutcome,isPurebred,Breed 1,Breed 2,Color 1,Color 2
Return_to_owner,Dog,Neutered Male,1 year,0,Shetland Sheepdog Mix,Shetland Sheepdog Mix,Brown,White
Euthanasia,Cat,Spayed Female,1 year,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Cream Tabby,Cream Tabby
Adoption,Dog,Neutered Male,2 years,0,Pit Bull Mix,Pit Bull Mix,Blue,White
Transfer,Cat,Intact Male,3 weeks,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Blue Cream,Blue Cream
Transfer,Dog,Neutered Male,2 years,0,Lhasa Apso,Miniature Poodle,Tan,Tan
Transfer,Dog,Intact Female,1 month,0,Cairn Terrier,Chihuahua Shorthair,Black,Tan
Transfer,Cat,Intact Male,3 weeks,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Blue Tabby,Blue Tabby
Transfer,Cat,Unknown,3 weeks,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Brown Tabby
Adoption,Dog,Spayed Female,5 months,0,American Pit Bull Terrier Mix,American Pit Bull Terrier Mix,Red,White
Adoption,Dog,Spayed Female,1 year,1,Cairn Terrier,Cairn Terrier,White,White
Transfer,Cat,Unknown,2 years,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Black
Adoption,Dog,Spayed Female,2 years,0,Miniature Schnauzer Mix,Miniature Schnauzer Mix,Silver,Silver
Adoption,Dog,Neutered Male,4 years,0,Pit Bull Mix,Pit Bull Mix,Brown,Brown
Return_to_owner,Dog,Neutered Male,2 years,0,Yorkshire Terrier Mix,Yorkshire Terrier Mix,Black,Red
Return_to_owner,Dog,Neutered Male,1 year,0,Great Pyrenees Mix,Great Pyrenees Mix,Cream,White
Adoption,Cat,Neutered Male,3 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Orange Tabby,White
Transfer,Cat,Intact Male,3 weeks,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Brown Tabby
Transfer,Dog,Intact Female,2 weeks,0,Pit Bull Mix,Pit Bull Mix,Brown,White
Transfer,Cat,Intact Female,2 years,0,Angora Mix,Angora Mix,White,White
Return_to_owner,Dog,Neutered Male,1 year,0,Flat Coat Retriever Mix,Flat Coat Retriever Mix,Black,Black
Transfer,Dog,Intact Male,2 months,0,Queensland Heeler Mix,Queensland Heeler Mix,Black,White
Transfer,Cat,Spayed Female,1 year,0,Domestic Shorthair Mix,Domestic Shorthair Mix,White,White
Adoption,Dog,Spayed Female,2 years,0,Boxer,Plott Hound,Brown Brindle,White
Adoption,Dog,Neutered Male,10 months,0,German Shepherd Mix,German Shepherd Mix,Brown,White
Return_to_owner,Dog,Neutered Male,2 months,0,German Shepherd Mix,German Shepherd Mix,Black,Brown
Transfer,Cat,Intact Female,1 month,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Orange Tabby,Orange Tabby
Adoption,Dog,Spayed Female,6 months,0,American Staffordshire Terrier Mix,American Staffordshire Terrier Mix,Chocolate,White
Adoption,Dog,Spayed Female,5 years,0,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Tan,White
Adoption,Cat,Spayed Female,2 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Cream Tabby,White
Return_to_owner,Cat,Neutered Male,7 years,0,Russian Blue Mix,Russian Blue Mix,Blue,Blue
Euthanasia,Cat,Spayed Female,3 years,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Calico,Calico
Transfer,Dog,Intact Male,4 months,0,Labrador Retriever Mix,Labrador Retriever Mix,Black,White
Adoption,Cat,Spayed Female,2 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Torbie,Torbie
Return_to_owner,Dog,Neutered Male,5 years,0,Collie Smooth,German Shepherd,Black,Brown
Transfer,Dog,Neutered Male,3 years,0,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Brown,Brown
Euthanasia,Dog,Intact Male,3 years,0,Labrador Retriever Mix,Labrador Retriever Mix,Yellow,Yellow
Return_to_owner,Dog,Neutered Male,3 years,0,Pit Bull Mix,Pit Bull Mix,Brown,White
Transfer,Cat,Intact Male,2 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Blue,White
Transfer,Cat,Neutered Male,4 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,White
Transfer,Cat,Intact Male,3 weeks,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Brown Tabby
Adoption,Cat,Spayed Female,7 years,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Blue Tabby,Blue Tabby
Transfer,Cat,Intact Male,2 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Orange Tabby,Orange Tabby
Transfer,Cat,Intact Female,2 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Brown Tabby
Transfer,Cat,Intact Male,4 years,0,Domestic Longhair Mix,Domestic Longhair Mix,Black,White
Adoption,Cat,Neutered Male,2 years,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,White
Return_to_owner,Dog,Neutered Male,12 years,1,Beagle,Beagle,Tricolor,Tricolor
Return_to_owner,Cat,Spayed Female,9 years,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,White
Transfer,Cat,Intact Female,3 weeks,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Black
Adoption,Dog,Spayed Female,5 months,0,German Shepherd Mix,German Shepherd Mix,Black,Brown
Euthanasia,Dog,Intact Male,6 years,0,Labrador Retriever,Pit Bull,Chocolate,White
Transfer,Cat,Intact Female,1 year,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Tortie,Tortie
Adoption,Cat,Spayed Female,3 months,0,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Brown Tabby
